Nível_da_estrutura_de_tópicos;EDT;Nome;Duração (dias);Início;Término;Predecessoras;Sucessoras;Predecessoras de EDT;Sucessoras de EDT;Crítica
5;2.2.3.2.1;ENERGIA ELETRICA COMERCIAL, BAIXA TENSAO, RELATIVA AO CONSUMO DE ATE 100 KWH, INCLUINDO ICMS, PIS/PASEP E COFINS;227.25 ;06/01/2025 09:00;19/11/2025 11:00;1;480;1;3;Não
3;2.2.4;EQUIPAMENTOS ALUGADOS;26;06/01/2025 09:00;10/02/2025 18:00;;;;;Não
4;2.2.4.1;ANDAIME;1.13 ;06/01/2025 09:00;07/01/2025 10:00;;;;;Não
5;2.2.4.1.1;MONTAGEM E DESMONTAGEM DE ANDAIME TUBULAR TIPO ?TORRE? (EXCLUSIVE ANDAIME E LIMPEZA). AF_11/2017;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;480;1;3;Não
5;2.2.4.1.2;LOCACAO DE ANDAIME METALICO TUBULAR DE ENCAIXE, TIPO DE TORRE, CADA PAINEL COM LARGURA DE 1 ATE 1,5 M E ALTURA DE *1,00* M, INCLUINDO DIAGONAL, BARRAS DE LIGACAO, SAPATAS OU RODIZIOS E DEMAIS ITENS NECESSARIOS A MONTAGEM (NÃO INCLUI INSTALACAO);1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;480;1;3;Não
4;2.2.4.2;ESCORAMENTO METÁLICO;19.13 ;06/01/2025 09:00;31/01/2025 10:00;;;;;Não
5;2.2.4.2.1;ESCORAMENTO TUBULAR METALICO PARA FORMAS/LAJES CONCRETO SEM FORNECIMENTO;9.56 ;06/01/2025 09:00;31/01/2025 10:00;1;480;1;3;Não
4;2.2.4.3;CAÇAMBA PARA REMOÇÃO DE ENTULHOS, RESTOS DE MATERIAIS, FORMAS E ETC.;26;06/01/2025 09:00;10/02/2025 18:00;;;;;Não
5;2.2.4.3.1;BOTA FORA EM CAÇAMBA 5M³;26;06/01/2025 09:00;10/02/2025 18:00;1;480;1;3;Não
2;2.3;SERVIÇOS COMPLEMENTARES;121.93 ;06/01/2025 09:00;24/06/2025 17:28;;;;;Sim
3;2.3.1;LIMPEZA E PREPARO DA ÁREA;0.1 ;06/01/2025 09:00;06/01/2025 09:46;;;;;Sim
4;2.3.1.1;DESMATAMENTO E LIMPEZA MECANIZADA DE TERRENO COM ARVORES ATE Ø 15CM, UTILIZANDO TRATOR DE ESTEIRAS;0.1 ;06/01/2025 09:00;06/01/2025 09:46;1;103;1;2.8.4.1.1;Sim
3;2.3.2;ENSAIOS;62.1 ;28/03/2025 16:40;24/06/2025 17:28;;;;;Não
4;2.3.2.1;ROMPIMENTO;62.1 ;28/03/2025 16:40;24/06/2025 17:28;;;;;Não
5;2.3.2.1.1;ENSAIO DE RESISTENCIA A COMPRESSAO SIMPLES - CONCRETO;62.1 ;28/03/2025 16:40;24/06/2025 17:28;143;"480;48";2.10.2.4.1;"3;2.3.3";Não
4;2.3.2.2;SLUMP TEST;2.88 ;28/03/2025 16:40;02/04/2025 15:40;;;;;Não
5;2.3.2.2.1;ENSAIO DE ABATIMENTO DO TRONCO DE CONE;2.88 ;28/03/2025 16:40;02/04/2025 15:40;143;480;2.10.2.4.1;3;Não
3;2.3.3;Conclusão dos serviços complementares;0;24/06/2025 17:28;24/06/2025 17:28;45;480;2.3.2.1.1;3;Não
2;2.4;SERVIÇOS PRELIMINARES;12.1 ;13/01/2025 15:17;29/01/2025 16:06;;;;;Sim
3;2.4.1;SERVIÇOS DE DEMOLIÇÕES E REMOÇÕES;12.1 ;13/01/2025 15:17;29/01/2025 16:06;;;;;Sim
4;2.4.1.1;DEMOLIÇÕES;6.51 ;21/01/2025 10:59;29/01/2025 16:06;;;;;Sim
5;2.4.1.1.1;DEMOLIÇÃO DE ALVENARIA DE BLOCO FURADO, DE FORMA MANUAL, SEM REAPROVEITAMENTO. AF_12/2017;5.35 ;21/01/2025 10:59;28/01/2025 14:45;"59;60;61;62;63";"67TI-50%;66TI-50%";"2.4.1.2.1;2.4.1.2.2;2.4.1.2.3;2.4.1.2.4;2.4.2";"2.5.1.2[TI-50%];2.5.1.1[TI-50%]";Não
5;2.4.1.1.2;DEMOLIÇÃO DE LAJES, DE FORMA MECANIZADA COM MARTELETE, SEM REAPROVEITAMENTO. AF_12/2017;6.51 ;21/01/2025 10:59;29/01/2025 16:06;"59;60;61;62;63";"67TI-50%;66TI-50%";"2.4.1.2.1;2.4.1.2.2;2.4.1.2.3;2.4.1.2.4;2.4.2";"2.5.1.2[TI-50%];2.5.1.1[TI-50%]";Sim
5;2.4.1.1.3;DEMOLIÇÃO DE PILARES E VIGAS EM CONCRETO ARMADO, DE FORMA MECANIZADA COM MARTELETE, SEM REAPROVEITAMENTO. AF_12/2017;5.59 ;21/01/2025 10:59;28/01/2025 17:11;"59;60;61;62;63";"67TI-50%;66TI-50%";"2.4.1.2.1;2.4.1.2.2;2.4.1.2.3;2.4.1.2.4;2.4.2";"2.5.1.2[TI-50%];2.5.1.1[TI-50%]";Não
5;2.4.1.1.4;DEMOLIÇÃO MECANIZADA DE DISPOSITIVO DE CONCRETO ARMADO REF.: ADAP DNIT 5S0499908. OBS.: FOI APLICADO UM FATOR MULTIPLICATIVO DE 2,5 PARA OS INSUMOS, PARA IGUALAR A PRODUTIVIDADE DO DNIT (0,4m³/h) A DO COMPOR (1m³/h);5.27 ;21/01/2025 10:59;28/01/2025 14:08;"59;60;61;62;63";"67TI-50%;66TI-50%";"2.4.1.2.1;2.4.1.2.2;2.4.1.2.3;2.4.1.2.4;2.4.2";"2.5.1.2[TI-50%];2.5.1.1[TI-50%]";Não
5;2.4.1.1.5;DEMOLIÇÃO DE PISO CIMENTADO BASE CONCRETO 8CM;6.23 ;21/01/2025 10:59;29/01/2025 13:50;"59;60;61;62;63";"67TI-50%;66TI-50%";"2.4.1.2.1;2.4.1.2.2;2.4.1.2.3;2.4.1.2.4;2.4.2";"2.5.1.2[TI-50%];2.5.1.1[TI-50%]";Não
5;2.4.1.1.6;DEMOLIÇÃO DE LAJES, DE FORMA MECANIZADA COM MARTELETE, SEM REAPROVEITAMENTO. AF_12/2017;0.86 ;21/01/2025 10:59;22/01/2025 09:54;"59;60;61;62;63";"67TI-50%;66TI-50%";"2.4.1.2.1;2.4.1.2.2;2.4.1.2.3;2.4.1.2.4;2.4.2";"2.5.1.2[TI-50%];2.5.1.1[TI-50%]";Não
4;2.4.1.2;RETIRADAS;5.59 ;13/01/2025 15:17;21/01/2025 10:59;;;;;Sim
5;2.4.1.2.1;RETIRADA DE TELHAS DE CERAMICAS OU DE VIDRO;5.59 ;13/01/2025 15:17;21/01/2025 10:59;103;"52;53;55;56;57;54;63";2.8.4.1.1;"2.4.1.1.1;2.4.1.1.2;2.4.1.1.4;2.4.1.1.5;2.4.1.1.6;2.4.1.1.3;2.4.2";Sim
5;2.4.1.2.2;RETIRADA DE ESTRUTURA DE MADEIRA PONTALETEADA PARA TELHAS CERAMICAS OU DE VIDRO;5.03 ;13/01/2025 15:17;20/01/2025 15:31;103;"52;53;55;56;57;54;63";2.8.4.1.1;"2.4.1.1.1;2.4.1.1.2;2.4.1.1.4;2.4.1.1.5;2.4.1.1.6;2.4.1.1.3;2.4.2";Não
5;2.4.1.2.3;REMOÇÃO DE PORTAS, DE FORMA MANUAL, SEM REAPROVEITAMENTO. AF_12/2017;0.29 ;13/01/2025 15:17;13/01/2025 17:36;103;"52;53;55;56;57;54;63";2.8.4.1.1;"2.4.1.1.1;2.4.1.1.2;2.4.1.1.4;2.4.1.1.5;2.4.1.1.6;2.4.1.1.3;2.4.2";Não
5;2.4.1.2.4;REMOÇÃO DE JANELAS, DE FORMA MANUAL, SEM REAPROVEITAMENTO. AF_12/2017;1.07 ;13/01/2025 15:17;14/01/2025 16:17;103;"52;53;55;56;57;54;63";2.8.4.1.1;"2.4.1.1.1;2.4.1.1.2;2.4.1.1.4;2.4.1.1.5;2.4.1.1.6;2.4.1.1.3;2.4.2";Não
3;2.4.2;Conclusão dos serviços Preliminares;0;21/01/2025 10:59;21/01/2025 10:59;"59;60;61;62";"52;53;55;56;57;54";"2.4.1.2.1;2.4.1.2.2;2.4.1.2.3;2.4.1.2.4";"2.4.1.1.1;2.4.1.1.2;2.4.1.1.4;2.4.1.1.5;2.4.1.1.6;2.4.1.1.3";Sim
2;2.5;SERVIÇOS DIVERSOS;3.7 ;24/01/2025 14:03;30/01/2025 10:39;;;;;Sim
3;2.5.1;CARGA,TRANP E DESCARGA E ESPALH DE MAT DE DEMOLIÇÃO;3.7 ;24/01/2025 14:03;30/01/2025 10:39;;;;;Sim
4;2.5.1.1;CARGA E DESCARGA MECANIZADAS DE ENTULHO EM CAMINHAO BASCULANTE 6 M3;0.39 ;24/01/2025 14:03;24/01/2025 17:10;"52TI-50%;53TI-50%;54TI-50%;55TI-50%;56TI-50%;57TI-50%";"74;68";"2.4.1.1.1[TI-50%];2.4.1.1.2[TI-50%];2.4.1.1.3[TI-50%];2.4.1.1.4[TI-50%];2.4.1.1.5[TI-50%];2.4.1.1.6[TI-50%]";"2.7.1.1;2.5.2";Não
4;2.5.1.2;TRANSPORTE COMERCIAL COM CAMINHAO BASCULANTE 6 M3, RODOVIA PAVIMENTADA;3.7 ;24/01/2025 14:03;30/01/2025 10:39;"52TI-50%;53TI-50%;54TI-50%;55TI-50%;56TI-50%;57TI-50%";"74;68";"2.4.1.1.1[TI-50%];2.4.1.1.2[TI-50%];2.4.1.1.3[TI-50%];2.4.1.1.4[TI-50%];2.4.1.1.5[TI-50%];2.4.1.1.6[TI-50%]";"2.7.1.1;2.5.2";Sim
3;2.5.2;Conclusão dos serviços diversos;0;30/01/2025 10:39;30/01/2025 10:39;"66;67";74;"2.5.1.1;2.5.1.2";2.7.1.1;Sim
2;2.6;LIMPEZA FINAL DE OBRA;3.92 ;05/11/2025 17:11;11/11/2025 16:32;;;;;Não
3;2.6.1;LIMPEZA FINAL DE OBRA;3.92 ;05/11/2025 17:11;11/11/2025 16:32;"266;272;365";"480;71";"2.12.4.3.3;2.12.4.4.5;2.12.7";"3;2.6.2";Não
3;2.6.2;Conclusão da Limpeza Final de Obra;0;11/11/2025 16:32;11/11/2025 16:32;70;480;2.6.1;3;Não
2;2.7;SERVIÇOS TÉCNICOS (LOCAÇÃO);10.13 ;30/01/2025 10:39;13/02/2025 11:39;;;;;Sim
3;2.7.1;LOCAÇÃO DA OBRA;10.13 ;30/01/2025 10:39;13/02/2025 11:39;;;;;Sim
4;2.7.1.1;LOCACAO DA OBRA, COM USO DE EQUIPAMENTOS TOPOGRAFICOS, INCLUSIVE NIVELADOR;5.06 ;30/01/2025 10:39;13/02/2025 11:39;"66;67;68;104";"139;121;120;107;75";"2.5.1.1;2.5.1.2;2.5.2;2.8.5";"2.10.2.2.1;2.9.5.1.2;2.9.5.1.1;2.9.1.1;2.7.2";Sim
3;2.7.2;Conclusão dos serviços técnicos de locação de Obra;0;13/02/2025 11:39;13/02/2025 11:39;74;"139;121;120;107";2.7.1.1;"2.10.2.2.1;2.9.5.1.2;2.9.5.1.1;2.9.1.1";Sim
2;2.8;CANTEIRO DE OBRAS;227.19 ;06/01/2025 09:46;19/11/2025 11:17;;;;;Sim
3;2.8.1;PLACA DE OBRA;1.5 ;13/01/2025 15:17;15/01/2025 10:17;;;;;Não
4;2.8.1.1;PLACA DE IDENTIFICACAO DE OBRA PUBLICA,TIPO BANNER/PLOTTER,C ONSTITUIDA POR LONA E IMPRESSAO DIGITAL,INCLUSIVE SUPORTES D E MADEIRA.FORNECIMENTO E COLOCACAO;1.5 ;13/01/2025 15:17;15/01/2025 10:17;103;100;2.8.4.1.1;2.8.3.3.1;Não
3;2.8.2;CONSTRUÇÕES PROVISÓRIAS;217.13 ;20/01/2025 10:17;19/11/2025 11:17;;;;;Não
4;2.8.2.1;LOCAÇÃO DE CONTAINERS;216;21/01/2025 11:17;19/11/2025 11:17;;;;;Não
5;2.8.2.1.1;LOCACAO DE CONTAINER 2,30 X 6,00 M, ALT. 2,50 M, PARA SANITARIO, COM 4 BACIAS, 8 CHUVEIROS,1 LAVATORIO E 1 MICTORIO (NÃO INCLUI MOBILIZACAO/DESMOBILIZACAO);216;21/01/2025 11:17;19/11/2025 11:17;"86;87;88";;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";;Não
5;2.8.2.1.2;LOCACAO DE CONTAINER 2,30 X 6,00 M, ALT. 2,50 M, PARA ESCRITORIO, SEM DIVISORIAS INTERNAS E SEM SANITARIO (NÃO INCLUI MOBILIZACAO/DESMOBILIZACAO);216;21/01/2025 11:17;19/11/2025 11:17;"86;87;88";;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";;Não
5;2.8.2.1.3;LOCACAO DE CONTAINER 2,30 X 6,00 M, ALT. 2,50 M, COM 1 SANITARIO, PARA ESCRITORIO, COMPLETO, SEM DIVISORIAS INTERNAS (NÃO INCLUI MOBILIZACAO/DESMOBILIZACAO);216;21/01/2025 11:17;19/11/2025 11:17;"86;87;88";;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";;Não
5;2.8.2.1.4;MOBILIZAÇÃO E DESMOBILIZAÇÃO DE CONTAINER, INCLUSIVE CARGA, DESCARGA E TRANSPORTE EM CAMINHÃO CARROCERIA COM GUINDAUTO (MUNCK), EXCLUSIVE LOCAÇÃO DO CONTAINER;216;21/01/2025 11:17;19/11/2025 11:17;"86;87;88";;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";;Não
4;2.8.2.2;ÁREA DE VIVÊNCIA E ALMOXARIFADO;1.13 ;20/01/2025 10:17;21/01/2025 11:17;;;;;Não
5;2.8.2.2.1;EXECUÇÃO DE REFEITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, NÃO INCLUSO MOBILIÁRIO E EQUIPAMENTOS. AF_02/2016;1.13 ;20/01/2025 10:17;21/01/2025 11:17;"95;91;92;93;94;97;98;100";"81;82;83;84;104";"2.8.3.1.5;2.8.3.1.1;2.8.3.1.2;2.8.3.1.3;2.8.3.1.4;2.8.3.2.1;2.8.3.2.2;2.8.3.3.1";"2.8.2.1.1;2.8.2.1.2;2.8.2.1.3;2.8.2.1.4;2.8.5";Não
5;2.8.2.2.2;TRAMA DE MADEIRA COMPOSTA POR TERÇAS PARA TELHADOS DE ATÉ 2 ÁGUAS PARA TELHA ONDULADA DE FIBROCIMENTO, METÁLICA, PLÁSTICA OU TERMOACÚSTICA, INCLUSO TRANSPORTE VERTICAL. AF_07/2019;0.47 ;20/01/2025 10:17;20/01/2025 15:01;"95;91;92;93;94;97;98;100";"81;82;83;84";"2.8.3.1.5;2.8.3.1.1;2.8.3.1.2;2.8.3.1.3;2.8.3.1.4;2.8.3.2.1;2.8.3.2.2;2.8.3.3.1";"2.8.2.1.1;2.8.2.1.2;2.8.2.1.3;2.8.2.1.4";Não
5;2.8.2.2.3;TELHAMENTO COM TELHA ONDULADA DE FIBROCIMENTO E = 6 MM, COM RECOBRIMENTO LATERAL DE 1 1/4 DE ONDA PARA TELHADO COM INCLINAÇÃO MÁXIMA DE 10°, COM ATÉ 2 ÁGUAS, INCLUSO IÇAMENTO. AF_07/2019;0.66 ;20/01/2025 10:17;20/01/2025 16:33;"95;91;92;93;94;97;98;100";"81;82;83;84";"2.8.3.1.5;2.8.3.1.1;2.8.3.1.2;2.8.3.1.3;2.8.3.1.4;2.8.3.2.1;2.8.3.2.2;2.8.3.3.1";"2.8.2.1.1;2.8.2.1.2;2.8.2.1.3;2.8.2.1.4";Não
3;2.8.3;LIGAÇÕES PROVISÓRIAS;4.5 ;13/01/2025 15:17;20/01/2025 10:17;;;;;Não
4;2.8.3.1;ÁGUA;1.13 ;13/01/2025 15:17;14/01/2025 16:17;;;;;Não
5;2.8.3.1.1;CAIXA EM CONCRETO PRÉ-MOLDADO PARA ABRIGO DE HIDRÔMETRO COM DN 20 (½?) ? FORNECIMENTO E INSTALAÇÃO. AF_11/2016;0.03 ;13/01/2025 15:17;14/01/2025 16:17;103;"86;87;88";2.8.4.1.1;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";Não
5;2.8.3.1.2;"KIT CAVALETE PARA MEDIÇÃO DE ÁGUA - ENTRADA PRINCIPAL, EM PVC SOLDÁVEL DN 25 (¾"")  FORNECIMENTO E INSTALAÇÃO (EXCLUSIVE HIDRÔMETRO). AF_11/2016";0.21 ;13/01/2025 15:17;14/01/2025 16:17;103;"86;87;88";2.8.4.1.1;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";Não
5;2.8.3.1.3;HIDRÔMETRO DN 25 (¾ ), 5,0 M³/H FORNECIMENTO E INSTALAÇÃO. AF_11/2016;0.07 ;13/01/2025 15:17;13/01/2025 16:19;103;"86;87;88";2.8.4.1.1;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";Não
5;2.8.3.1.4;(COMPOSIÇÃO REPRESENTATIVA) DO SERVIÇO DE INSTALAÇÃO DE TUBOS DE PVC, SOLDÁVEL, ÁGUA FRIA, DN 25 MM (INSTALADO EM RAMAL, SUB-RAMAL, RAMAL DE DISTRIBUIÇÃO OU PRUMADA), INCLUSIVE CONEXÕES, CORTES E FIXAÇÕES, PARA PRÉDIOS. AF_10/2015;1.13 ;13/01/2025 15:17;14/01/2025 16:17;103;"86;87;88";2.8.4.1.1;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";Não
5;2.8.3.1.5;"LIGACAO DA REDE 50MM AO RAMAL PREDIAL 1/2""";0.06 ;13/01/2025 15:17;14/01/2025 16:17;103;"86;87;88";2.8.4.1.1;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";Não
4;2.8.3.2;ESGOTO;1.13 ;13/01/2025 15:17;14/01/2025 16:17;;;;;Não
5;2.8.3.2.1;COLETOR PREDIAL DE ESGOTO, DA CAIXA ATÉ A REDE (DISTÂNCIA = 10 M, LARGURA DA VALA = 0,65 M), INCLUINDO ESCAVAÇÃO MANUAL, PREPARO DE FUNDO DE VALA E REATERRO MANUAL COM COMPACTAÇÃO MECANIZADA, TUBO PVC P/ REDE COLETORA ESGOTO JEI DN 100 MM E CONEXÕES - FOR;1.13 ;13/01/2025 15:17;14/01/2025 16:17;103;"86;87;88";2.8.4.1.1;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";Não
5;2.8.3.2.2;CAIXA DE INSPEÇÃO EM CONCRETO PRÉ-MOLDADO DN 60CM COM TAMPA H= 60CM - FORNECIMENTO E INSTALACAO;0.19 ;13/01/2025 15:17;14/01/2025 16:17;103;"86;87;88";2.8.4.1.1;"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";Não
4;2.8.3.3;ENERGIA ELÉTRICA;3;15/01/2025 10:17;20/01/2025 10:17;;;;;Não
5;2.8.3.3.1;INSTAL/LIGACAO PROVISORIA ELETRICA BAIXA TENSAO P/CANT OBRA           OBRA,M3-CHAVE 100A CARGA 3KWH,20CV EXCL FORN MEDIDOR;3;15/01/2025 10:17;20/01/2025 10:17;"103;78";"86;87;88";"2.8.4.1.1;2.8.1.1";"2.8.2.2.1;2.8.2.2.2;2.8.2.2.3";Não
3;2.8.4;PROTEÇÃO E SINALIZAÇÃO;5.57 ;06/01/2025 09:46;13/01/2025 15:17;;;;;Sim
4;2.8.4.1;TAPUMES;5.57 ;06/01/2025 09:46;13/01/2025 15:17;;;;;Sim
5;2.8.4.1.1;TAPUME COM TELHA METÁLICA. AF_05/2018;5.57 ;06/01/2025 09:46;13/01/2025 15:17;42;"59;60;61;62;91;92;93;94;95;97;98;100;78";2.3.1.1;"2.4.1.2.1;2.4.1.2.2;2.4.1.2.3;2.4.1.2.4;2.8.3.1.1;2.8.3.1.2;2.8.3.1.3;2.8.3.1.4;2.8.3.1.5;2.8.3.2.1;2.8.3.2.2;2.8.3.3.1;2.8.1.1";Sim
3;2.8.5;Conclusão das instalações provisórias de Canteiro de Obras;0;21/01/2025 11:17;21/01/2025 11:17;86;74;2.8.2.2.1;2.7.1.1;Não
2;2.9;MOVIMENTO DE TERRA;44.01 ;13/02/2025 11:39;16/04/2025 11:45;;;;;Sim
3;2.9.1;CORTES;0.57 ;13/02/2025 11:39;13/02/2025 17:13;;;;;Não
4;2.9.1.1;CORTE E ATERRO COMPENSADO;0.57 ;13/02/2025 11:39;13/02/2025 17:13;"74;75";"109;110;114;116;117";"2.7.1.1;2.7.2";"2.9.2.1;2.9.2.2;2.9.3.2;2.9.4.1;2.9.4.2";Não
3;2.9.2;ATERRO COMPACTADO;1.6 ;13/02/2025 17:13;17/02/2025 14:01;;;;;Não
4;2.9.2.1;ESPALHAMENTO DE MATERIAL DE 1A CATEGORIA COM TRATOR DE ESTEIRA COM 153HP;0.16 ;13/02/2025 17:13;14/02/2025 09:31;107;111;2.9.1.1;2.9.2.3;Não
4;2.9.2.2;ARGILA OU BARRO PARA ATERRO/REATERRO (RETIRADO NA JAZIDA, SEM TRANSPORTE);1.13 ;13/02/2025 17:13;17/02/2025 09:13;107;111;2.9.1.1;2.9.2.3;Não
4;2.9.2.3;EXECUÇÃO E COMPACTAÇÃO DE ATERRO COM SOLO PREDOMINANTEMENTE ARGILOSO - EXCLUSIVE SOLO, ESCAVAÇÃO, CARGA E TRANSPORTE. AF_11/2019;0.48 ;17/02/2025 09:13;17/02/2025 14:01;"109;110";113;"2.9.2.1;2.9.2.2";2.9.3.1;Não
3;2.9.3;TRANSPORTE, LANÇAMENTO E EMPILHAMENTO (DESCARTE DO MATERIAL);10.43 ;13/02/2025 17:13;28/02/2025 11:39;;;;;Não
4;2.9.3.1;CARGA E DESCARGA MECANICA DE SOLO UTILIZANDO CAMINHAO BASCULANTE 6,0M3/16T E PA CARREGADEIRA SOBRE PNEUS 128 HP, CAPACIDADE DA CAÇAMBA 1,7 A 2,8 M3, PESO OPERACIONAL 11632 KG;0.2 ;17/02/2025 14:01;17/02/2025 15:36;111;480;2.9.2.3;3;Não
4;2.9.3.2;TRANSPORTE COMERCIAL COM CAMINHAO BASCULANTE 6 M3, RODOVIA PAVIMENTADA;10.43 ;13/02/2025 17:13;28/02/2025 11:39;107;480;2.9.1.1;3;Não
3;2.9.4;TRANSPORTE, LANÇAMENTO E EMPILHAMENTO (ATERRO);6.14 ;13/02/2025 17:13;24/02/2025 09:22;;;;;Não
